1	32	34	13	23	9	7	3	1	25	6
2	32	30	33	23	4	19	2	1	5	24
3	32	13	30	23	3	15	4	1	6	5
4	32	33	31	36	2	8	18	22	12	10
5	32	30	31	33	4	16	18	2	19	8
6	31	33	35	36	8	26	21	10	12	28
7	32	29	13	34	17	14	3	9	20	7
8	32	23	33	36	1	24	2	22	11	12
9	32	34	23	36	9	25	1	22	27	11
10	32	34	36	37	9	27	22	38	39	40
11	36	62	59	37	58	53	49	40	41	42
12	59	62	60	37	53	48	51	42	41	43
13	29	60	61	37	55	52	47	44	43	45
14	29	59	60	37	46	51	55	44	42	43
15	60	62	61	37	48	54	52	43	41	45
16	29	34	32	37	20	9	17	44	39	38
17	32	36	59	37	22	49	56	38	40	42
18	34	61	62	37	57	54	50	39	45	41
19	29	61	34	37	47	57	20	44	45	39
20	29	32	59	37	17	56	46	44	38	42
21	34	62	36	37	50	58	27	39	41	40
